9	27	810	7290
1	1	36	155.505	420.351
2	1	36	185.456	395.29
3	1	36	141.644	435.344
4	1	36	150.398	435.207
5	1	36	180.824	436.055
6	1	36	147.54	456.715
7	1	36	156.236	452.069
8	1	36	186.135	478.722
0	1	37	193.277	414.924
1	1	37	202.306	420.36
2	1	37	230.521	396.252
3	1	37	188.549	435.375
4	1	37	197.624	435.212
5	1	37	226.379	436.028
6	1	37	193.888	457.806
7	1	37	202.927	452.079
8	1	37	231.168	477.672
0	1	38	239.569	413.924
1	1	38	249.07	420.349
2	1	38	275.658	397.229
3	1	38	235.409	435.408
4	1	38	244.884	435.209
5	1	38	271.999	435.978
6	1	38	240.228	458.848
7	1	38	249.567	452.072
8	1	38	276.279	476.65
0	1	39	285.822	412.931
1	1	39	295.729	420.349
2	1	39	320.884	398.198
3	1	39	282.212	435.447
4	1	39	292.193	435.209
5	1	39	317.609	435.943
6	1	39	286.408	459.924
7	1	39	296.327	452.085
8	1	39	321.404	475.599
0	1	40	332.056	411.935
1	1	40	342.525	420.353
2	1	40	366.209	399.187
3	1	40	328.778	435.477
4	1	40	339.394	435.205
5	1	40	363.377	435.899
6	1	40	332.497	460.998
7	1	40	342.94	452.063
8	1	40	366.551	474.579
0	1	41	378.246	410.938
1	1	41	389.341	420.355
2	1	41	411.552	400.152
3	1	41	375.483	435.509
4	1	41	386.612	435.207
5	1	41	409.197	435.862
6	1	41	378.592	462.041
7	1	41	389.655	452.074
8	1	41	411.849	473.528
0	1	42	147.228	462.087
1	1	42	155.865	466.61
2	1	42	185.772	440.716
3	1	42	141.647	482.465
4	1	42	150.4	482.476
5	1	42	180.834	482.442
6	1	42	147.201	502.831
7	1	42	155.833	498.305
8	1	42	185.761	524.149
0	1	43	193.564	461.082
1	1	43	202.581	466.605
2	1	43	230.835	441.707
3	1	43	188.544	482.461
4	1	43	197.622	482.47
5	1	43	226.368	482.443
6	1	43	193.536	503.82
7	1	43	202.561	498.3
8	1	43	230.817	523.159
0	1	44	239.895	460.011
1	1	44	249.363	466.608
2	1	44	276.007	442.733
3	1	44	235.408	482.461
4	1	44	244.899	482.473
5	1	44	272.012	482.448
6	1	44	239.869	504.897
7	1	44	249.346	498.308
8	1	44	275.978	522.139
0	1	45	286.178	459.021
1	1	45	296.09	466.604
2	1	45	321.206	443.721
3	1	45	282.206	482.448
4	1	45	292.185	482.467
5	1	45	317.599	482.442
6	1	45	286.174	505.897
7	1	45	296.065	498.295
8	1	45	321.203	521.144
0	1	46	332.333	457.943
1	1	46	342.703	466.606
2	1	46	366.417	444.748
3	1	46	328.78	482.455
4	1	46	339.387	482.465
5	1	46	363.395	482.454
6	1	46	332.314	506.97
7	1	46	342.711	498.298
8	1	46	366.403	520.127
0	1	47	378.435	456.949
1	1	47	389.511	466.611
2	1	47	411.685	445.735
3	1	47	375.481	482.452
4	1	47	386.616	482.468
5	1	47	409.194	482.451
6	1	47	378.435	507.949
7	1	47	389.505	498.298
8	1	47	411.676	519.142
0	1	48	147.556	508.163
1	1	48	156.252	512.767
2	1	48	186.146	486.081
3	1	48	141.642	529.533
4	1	48	150.4	529.688
5	1	48	180.842	528.791
6	1	48	146.797	548.895
7	1	48	155.48	544.497
8	1	48	185.43	569.495
0	1	49	193.923	507.037
1	1	49	202.942	512.772
2	1	49	231.202	487.188
3	1	49	188.548	529.51
4	1	49	197.625	529.697
5	1	49	226.371	528.834
6	1	49	193.266	549.924
7	1	49	202.289	544.508
8	1	49	230.509	568.573
0	1	50	240.225	505.987
1	1	50	249.584	512.768
2	1	50	276.276	488.159
3	1	50	235.414	529.481
4	1	50	244.885	529.684
5	1	50	272.008	528.879
6	1	50	239.533	550.89
7	1	50	249.059	544.496
8	1	50	275.637	567.551
0	1	51	286.429	504.88
1	1	51	296.364	512.773
2	1	51	321.431	489.255
3	1	51	282.214	529.463
4	1	51	292.187	529.697
5	1	51	317.598	528.919
6	1	51	285.81	551.902
7	1	51	295.734	544.502
8	1	51	320.87	566.615
0	1	52	332.512	503.819
1	1	52	342.95	512.768
2	1	52	366.564	490.241
3	1	52	328.771	529.433
4	1	52	339.388	529.685
5	1	52	363.386	528.967
6	1	52	332.04	552.877
7	1	52	342.511	544.497
8	1	52	366.203	565.593
0	1	53	378.602	502.759
1	1	53	389.665	512.768
2	1	53	411.854	491.304
3	1	53	375.484	529.393
4	1	53	386.609	529.689
5	1	53	409.196	529.016
6	1	53	378.23	553.881
7	1	53	389.326	544.5
8	1	53	411.541	564.662
0	1	54	147.946	554.059
1	1	54	156.591	558.879
2	1	54	186.455	531.409
3	1	54	141.642	576.618
4	1	54	150.394	576.98
5	1	54	180.83	575.239
6	1	54	146.438	595.151
7	1	54	155.147	590.791
8	1	54	185.12	615.034
0	1	55	194.277	552.94
1	1	55	203.287	558.87
2	1	55	231.434	532.431
3	1	55	188.546	576.556
4	1	55	197.624	576.972
5	1	55	226.381	575.292
6	1	55	192.904	596.053
7	1	55	201.936	590.785
8	1	55	230.252	614.152
0	1	56	240.477	551.843
1	1	56	249.914	558.87
2	1	56	276.483	533.478
3	1	56	235.41	576.506
4	1	56	244.876	576.96
5	1	56	272.01	575.353
6	1	56	239.316	597.056
7	1	56	248.686	590.784
8	1	56	275.429	613.164
0	1	57	286.629	550.68
1	1	57	296.556	558.871
2	1	57	321.593	534.576
3	1	57	282.209	576.443
4	1	57	292.186	576.96
5	1	57	317.603	575.411
6	1	57	285.559	597.975
7	1	57	295.517	590.781
8	1	57	320.602	612.309
0	1	58	332.692	549.666
1	1	58	343.248	558.868
2	1	58	366.721	535.562
3	1	58	328.779	576.394
4	1	58	339.386	576.971
5	1	58	363.384	575.465
6	1	58	331.758	598.907
7	1	58	342.323	590.784
8	1	58	365.939	611.281
0	1	59	378.787	548.522
1	1	59	389.846	558.871
2	1	59	412.058	536.71
3	1	59	375.481	576.331
4	1	59	386.61	576.977
5	1	59	409.196	575.52
6	1	59	377.985	599.88
7	1	59	389.112	590.781
8	1	59	411.384	610.391
0	2	60	148.307	599.246
1	2	60	156.973	604.238
2	2	60	186.773	575.819
3	2	60	141.652	622.996
4	2	60	150.398	623.489
5	2	60	180.823	620.786
6	2	60	146.103	640.603
7	2	60	154.754	636.492
8	2	60	184.761	659.836
0	2	61	194.554	598.097
1	2	61	203.564	604.232
2	2	61	231.734	576.969
3	2	61	188.544	622.872
4	2	61	197.625	623.48
5	2	61	226.379	620.904
6	2	61	192.535	641.503
7	2	61	201.579	636.495
8	2	61	229.948	658.918
0	2	62	240.748	596.972
1	2	62	250.268	604.235
2	2	62	276.737	578.05
3	2	62	235.418	622.774
4	2	62	244.906	623.484
5	2	62	272.014	621.018
6	2	62	239.013	642.469
7	2	62	248.442	636.49
8	2	62	275.198	658.052
0	2	63	286.921	595.796
1	2	63	296.778	604.234
2	2	63	321.813	579.179
3	2	63	282.214	622.66
4	2	63	292.192	623.487
5	2	63	317.593	621.132
6	2	63	285.374	643.383
7	2	63	295.325	636.495
8	2	63	320.454	657.146
0	2	64	332.947	594.687
1	2	64	343.451	604.233
2	2	64	366.97	580.285
3	2	64	328.78	622.565
4	2	64	339.392	623.484
5	2	64	363.4	621.249
6	2	64	331.565	644.332
7	2	64	342.071	636.495
8	2	64	365.717	656.232
0	2	65	378.996	593.598
1	2	65	390.064	604.235
2	2	65	412.247	581.369
3	2	65	375.482	622.486
4	2	65	386.614	623.482
5	2	65	409.195	621.351
6	2	65	377.779	645.259
7	2	65	388.892	636.497
